teamId,teamName,Conf,Div,W,L,WL,MOV,ORtg,DRtg,NRtg,MOV,ORtg,DRtg,NRtg
1,Boston Celtics,E,A,51,31,.622,7.28,115.37,107.71,7.66,7.02,115.05,107.65,7.39
2,Phoenix Suns,W,P,64,18,.780,7.50,115.65,108.17,7.48,6.94,115.41,108.50,6.91
3,Utah Jazz,W,NW,49,33,.598,6.04,117.68,111.52,6.16,5.67,117.63,111.84,5.79
4,Golden State Warriors,W,P,53,29,.646,5.54,113.33,107.68,5.65,5.52,113.24,107.62,5.62
5,Memphis Grizzlies,W,SW,56,26,.683,5.68,115.50,109.94,5.56,5.37,115.38,110.14,5.24
6,Miami Heat,E,SE,53,29,.646,4.45,114.83,110.21,4.62,4.23,114.61,110.21,4.40
7,Dallas Mavericks,W,SW,52,30,.634,3.30,113.82,110.27,3.55,3.12,113.76,110.41,3.35
8,Milwaukee Bucks,E,C,51,31,.622,3.35,115.86,112.56,3.31,3.22,115.86,112.67,3.18
9,Philadelphia 76ers,E,A,51,31,.622,2.61,114.39,111.80,2.59,2.57,114.42,111.86,2.56
10,Toronto Raptors,E,A,48,34,.585,2.29,113.93,111.55,2.38,2.37,113.86,111.40,2.46
11,Minnesota Timberwolves,W,NW,46,36,.561,2.63,115.15,112.60,2.54,2.53,115.23,112.79,2.44
12,Denver Nuggets,W,NW,48,34,.585,2.30,115.21,112.88,2.33,2.16,115.25,113.08,2.17
13,Cleveland Cavaliers,E,C,44,38,.537,2.12,112.92,110.79,2.13,2.04,112.66,110.62,2.05
14,Atlanta Hawks,E,SE,43,39,.524,1.56,117.29,115.71,1.58,1.55,117.42,115.84,1.58
15,Brooklyn Nets,E,A,44,38,.537,0.78,114.69,113.93,0.76,0.82,114.84,114.03,0.81
16,Charlotte Hornets,E,SE,43,39,.524,0.44,114.94,114.44,0.50,0.53,115.02,114.42,0.60
17,New York Knicks,E,A,37,45,.451,-0.12,111.47,111.55,-0.08,-0.01,111.35,111.31,0.04
18,Los Angeles Clippers,W,P,42,40,.512,0.02,110.86,110.92,-0.06,0.09,110.85,110.85,0.00
19,San Antonio Spurs,W,SW,34,48,.415,0.12,113.04,113.00,0.03,0.02,113.09,113.16,-0.07
20,Chicago Bulls,E,C,46,36,.561,-0.39,114.07,114.55,-0.48,-0.37,114.13,114.58,-0.45
21,New Orleans Pelicans,W,SW,36,46,.439,-0.99,112.84,113.82,-0.98,-0.84,112.93,113.77,-0.84
22,Los Angeles Lakers,W,P,33,49,.402,-3.05,111.15,114.17,-3.02,-3.08,111.22,114.30,-3.07
23,Indiana Pacers,E,C,25,57,.305,-3.48,113.60,117.11,-3.51,-3.26,113.74,117.03,-3.28
24,Washington Wizards,E,SE,35,47,.427,-3.38,111.72,115.33,-3.61,-3.23,111.79,115.23,-3.43
25,Sacramento Kings,W,P,30,52,.366,-5.46,110.69,116.28,-5.59,-5.26,110.92,116.31,-5.38
26,Detroit Pistons,E,C,23,59,.280,-7.72,106.96,114.67,-7.71,-7.35,107.02,114.36,-7.34
27,Orlando Magic,E,SE,22,60,.268,-8.00,105.25,113.25,-8.00,-7.67,105.16,112.82,-7.66
28,Oklahoma City Thunder,W,NW,24,58,.293,-8.10,105.25,113.42,-8.18,-7.90,105.18,113.16,-7.98
29,Houston Rockets,W,SW,20,62,.244,-8.48,109.28,117.77,-8.49,-8.26,109.47,117.75,-8.28
30,Portland Trail Blazers,W,NW,27,55,.329,-8.88,108.80,117.93,-9.13,-8.55,109.03,117.84,-8.81
